阿非利加洲	Afrika
日本	Japan
挪威	Norge
英格蘭	England
蘇格蘭	Skottland
愛爾蘭共和國	Irland
匈牙利	Ungern
西班牙	Spanien
美國	USA
比利時	Belgien
盧森堡	Luxemburg
宇宙	Universum
坤輿	Jorden
死	Döden
人	Människa
華盛頓	George Washington
芬蘭	Finland
瑞典	Sverige
丹麥	Danmark
波蘭	Polen
立陶宛	Litauen
義大利	Italien
瑞士	Schweiz
奧地利	Österrike
希臘共和國	Grekland
土耳其	Turkiet
啤酒	Öl
葡萄牙	Portugal
歐羅巴洲	Europa
亞細亞洲	Asien
南極洲	Antarktis
維基大典	Wikipedia
荷蘭	Nederländerna
紐約市	New York
華盛頓哥倫比亞特區	Washington, D.C.
柏林	Berlin
電腦	Dator
共筆臺	Mediawiki
倫敦	London
巴黎	Paris
安卓	Android (operativsystem)
谷歌	Google
墨西哥	Mexiko
太平洋	Stilla havet
熒惑	Mars (planet)
衣索比亞	Etiopien
迦納	Ghana
法國	Frankrike
世界語	Esperanto
犬	Hund
英國	Storbritannien
貓	Katt
中華人民共和國	Kina
法蘭西語	Franska
維基爾雅	Wiktionary
乙醇	Etanol
巴西	Brasilien
醇	Alkoholer
俄羅斯	Ryssland
光導纖維	Fiberoptik
正方形	Kvadrat
圓周率	Pi
共筆	Wiki
魁北克	Québec
維基媒體基金會	Wikimedia Foundation
威霽彌	Jimmy Wales
德國	Tyskland
白俄羅斯	Vitryssland
德語	Tyska
冰島	Island
愛沙尼亞	Estland
鎮星	Saturnus
飛機	Flygplan
一	1 (tal)
二	2 (tal)
三	3 (tal)
〇	0 (tal)
無限	Oändlighet
拉脫維亞	Lettland
烏克蘭	Ukraina
捷克	Tjeckien
斯洛伐克	Slovakien
羅馬尼亞	Rumänien
保加利亞	Bulgarien
羅馬	Rom
馬其頓	Makedonien
格陵蘭	Grönland
哈薩克	Kazakstan
古巴	Kuba
印度尼西亞	Indonesien
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	Sydafrika
商博良	Jean-François Champollion
阿爾及利亞	Algeriet
水	Vatten
電視	Television
智利	Chile
耶穌	Jesus
伽利略	Galileo Galilei
辰星	Merkurius
史	Historia
蘋果公司	Apple Inc.
太白	Venus
語言	Språk
愛	Kärlek
歲星	Jupiter
銀河	Vintergatan
大霹靂	Big Bang
天王星	Uranus
英文維基大典	Engelskspråkiga Wikipedia
海王星	Neptunus
新加坡	Singapore
格致	Vetenskap
冥王星	Pluto
列支敦士登	Liechtenstein
希特勒	Adolf Hitler
臉書	Facebook
第一次世界大戰	Första världskriget
第二次世界大戰	Andra världskriget
烏邦土	Ubuntu
數學	Matematik
拉丁語	Latin
巴林	Bahrain
塞爾維亞	Serbien
月	Månen
澳大利亞	Australien
物理	Fysik
阿根廷	Argentina
秘魯	Peru
生物學	Biologi
朝鮮民主主義人民共和國	Nordkorea
柬埔寨	Kambodja
古蘭經	Koranen
恐龍	Dinosaurier
回教	Islam
大英百科	Encyclopædia Britannica
歐羅巴聯盟	Europeiska unionen
朋友	Vänskap
馬里亞納海溝	Marianergraven
珠穆朗瑪峰	Mount Everest
拿破崙一世	Napoleon I
恆星	Stjärna
日	Solen
巴斯特	Louis Pasteur
光年	Ljusår
大洋洲	Oceanien
太陽系	Solsystemet
氫	Väte
氦	Helium
維基共享	Wikimedia Commons
鋰	Litium
鈹	Beryllium
日（曆法）	Dygn
東帝汶	Östtimor
夜	Natt
黑洞	Svart hål
穀神星	Ceres (dvärgplanet)
妊神星	Haumea (dvärgplanet)
鳥神星	Makemake (dvärgplanet)
鬩神星	Eris (dvärgplanet)
硼	Bor
碳	Kol
氮	Kväve
氧	Syre
行星	Planet
威尼斯	Venedig
火影忍者	Naruto
莫斯科	Moskva
氟	Fluor
義大利語	Italienska
氖	Neon
鈉	Natrium
鎂	Magnesium
鋁	Aluminium
紐西蘭	Nya Zeeland
印度	Indien
硅	Kisel
磷	Fosfor
鐵	Järn
硫	Svavel
東	Öster
氯	Klor
巴布亞新幾內亞	Papua Nya Guinea
莎士比亞	William Shakespeare
氬	Argon
鉀	Kalium
鈣	Kalcium
鉛	Bly
蒙古國	Mongoliet
鈧	Skandium
鈦	Titan
委內瑞拉	Venezuela
成吉思汗	Djingis khan
釩	Vanadin
鉻	Krom
阿姆斯特丹	Amsterdam
動物	Djur
錳	Mangan
哥倫比亞	Colombia
鈷	Kobolt
鎢	Volfram
鎳	Nickel
佛教	Buddhism
玻利維亞	Bolivia
銅	Koppar
千里達及托巴哥	Trinidad och Tobago
植物	Växt
鋅	Zink
真菌	Svampar
牙買加	Jamaica
夏威夷	Hawaii
海地	Haiti
伊朗	Iran
伊拉克	Irak
哥斯大黎加	Costa Rica
以色列	Israel
巴拿馬	Panama
科威特	Kuwait
老撾	Laos
馬爾地夫	Maldiverna
亞美利加洲	Amerika
馬來西亞	Malaysia
緬甸	Burma
尼泊爾	Nepal
阿曼	Oman
巴基斯坦	Pakistan
卡達國	Qatar
沙特阿拉伯	Saudiarabien
斯里蘭卡	Sri Lanka
斯大林	Josef Stalin
柏拉圖	Platon
鎵	Gallium
神奇寶貝	Pokémon
中華民國	Taiwan
鍺	Germanium
泰國	Thailand
砒	Arsenik
硒	Selen
溴	Brom
鉑	Platina
越南	Vietnam
大韓民國	Sydkorea
氪	Krypton
阿富汗	Afghanistan
江南風	Gangnam Style
銣	Rubidium
金	Guld
蘇彝士運河	Suezkanalen
孟加拉國	Bangladesh
蘇格拉底	Sokrates
安哥拉	Angola
不丹	Bhutan
汶萊	Brunei
汞	Kvicksilver
菲律賓	Filippinerna
中非	Centralafrikanska republiken
鉈	Tallium
南極	Sydpolen
北極	Nordpolen
牛頓	Isaac Newton
鍶	Strontium
釔	Yttrium
鉍	Vismut
尚比亞	Zambia
津巴布韋	Zimbabwe
北京市	Peking
南蘇丹	Sydsudan
海參崴	Vladivostok
波札那	Botswana
剛果民主共和國	Kongo-Kinshasa
吉布提	Djibouti
加蓬	Gabon
甘地	Mahatma Gandhi
利比亞	Libyen
馬達加斯加	Madagaskar
摩洛哥	Marocko
莫桑比克	Moçambique
納米比亞	Namibia
尼日利亞	Nigeria
烏干達	Uganda
索馬里	Somalia
凱撒	Julius Caesar
蘇丹	Sudan
斯威士蘭	Swaziland
鍀	Teknetium
天演	Evolution
聯合國	Förenta nationerna
地理學	Geografi
腦	Hjärna
布拉格	Prag
銀	Silver
錫	Tenn
鈾	Uran
鈈	Plutonium
碘	Jod
氙	Xenon
銫	Cesium
鐳	Radium
氡	Radon
賈坎德邦	Jharkhand
耶路撒冷	Jerusalem
印度洋	Indiska oceanen
科索沃	Kosovo
蕭邦	Frédéric Chopin
Category:類	Kategori:Topp
帕斯卡	Blaise Pascal
冬	Vinter
春	Vår
夏	Sommar
秋	Höst
薩達姆·海珊	Saddam Hussein
拉登	Usama bin Ladin
西班牙語	Spanska
巴赫	Johann Sebastian Bach
泉幣	Pengar
奧古斯都	Augustus
諾基亞	Nokia
德克薩斯州	Texas
布宜諾斯艾利斯	Buenos Aires
東京都	Tokyo prefektur
密西西比河	Mississippifloden
錫金	Sikkim
尼爾杭思朗	Neil Armstrong
斯德哥爾摩	Stockholm
墓誌	Epitafium
里加	Riga
聖經	Bibeln
金邊	Phnom Penh
真耶穌教會	The True Jesus Church
英語	Engelska
曼谷	Bangkok
臺北市	Taipei
鎇	Americium
康賽普西翁	Concepción, Chile
緬尼托巴	Manitoba
孔斯科沃拉	Końskowola
公元二千年	2000
二〇〇三年	2003
二〇〇二年	2002
二〇〇一年	2001
二〇一二年	2012
二〇一一年	2011
二〇一〇年	2010
二〇〇九年	2009
二氧化碳	Koldioxid
二〇一三年	2013
二〇一四年	2014
二〇一五年	2015
二〇〇八年	2008
二〇〇四年	2004
二〇〇五年	2005
二〇〇六年	2006
二〇〇七年	2007
一氧化碳	Kolmonoxid
戴高樂	Charles de Gaulle
一九九二年	1992
一九九一年	1991
一九九〇年	1990
一九九三年	1993
一九九四年	1994
一九九五年	1995
一九九六年	1996
可縮放矢量圖形	Scalable Vector Graphics
萊比錫	Leipzig
一九九七年	1997
一九九八年	1998
一九九九年	1999
食物	Mat
光速	Ljusets hastighet
公曆一月一日	1 januari
公曆一月二日	2 januari
公曆一月三日	3 januari
公曆一月四日	4 januari
矮行星	Dvärgplanet
公曆一月五日	5 januari
公曆一月六日	6 januari
電子	Elektron
公曆一月七日	7 januari
公曆一月八日	8 januari
公曆一月九日	9 januari
公曆一月十日	10 januari
公曆一月十一日	11 januari
公曆一月十二日	12 januari
公曆一月十三日	13 januari
公曆一月十四日	14 januari
公曆一月十五日	15 januari
工業革命	Industriella revolutionen
苯	Bensen
微軟	Microsoft
質子	Proton
庫魯夫	Kurów
公曆二月五日	5 februari
公曆二月八日	8 februari
化學	Kemi
中子	Neutron
公曆二月廿九日	29 februari
公曆三月十四日	14 mars
一九八九年	1989
一九八八年	1988
一九八七年	1987
一九八六年	1986
一九八五年	1985
一九八四年	1984
一九八三年	1983
一九八二年	1982
一九八一年	1981
一九八〇年	1980
一九七〇年	1970
一九七一年	1971
一九七二年	1972
一九七三年	1973
一九七四年	1974
一九七五年	1975
一九七六年	1976
一九七七年	1977
一九七八年	1978
一九七九年	1979
一九六九年	1969
公曆四月五日	5 april
衛星	Måne
公曆五月四日	4 maj
土衛六	Titan (måne)
一九六八年	1968
一九六七年	1967
一九六六年	1966
一九六五年	1965
一九六四年	1964
公曆六月廿日	20 juni
公曆七月廿三日	23 juli
足球	Fotboll
一九六三年	1963
一九六二年	1962
公曆九月十日	10 september
公曆十二月卅一日	31 december
公曆十月十日	10 oktober
灶神星	4 Vesta
查理曼	Karl den store
木衛一	Io (måne)
木衛四	Callisto
木衛二	Europa (måne)
木衛三	Ganymedes (måne)
火	Eld
新南威爾士州	New South Wales
土衛二	Enceladus
天衛三	Titania
海衛一	Triton (måne)
雅加達	Jakarta
一九六一年	1961
Category:模板	Kategori:Mallar
一九六〇年	1960
小行星	Asteroid
日食	Solförmörkelse
二進制	Binära talsystemet
阿斯圖里亞斯	Asturien
維基大典:沙盒	Wikipedia:Sandlådan
卡爾梅克共和國	Kalmuckien
代數學	Algebra
地圖	Karta
阿拉貢自治區	Aragonien
前卅三年	33 f.Kr.
硫酸	Svavelsyra
同海機場	Dong Hoi flygplats
Category:大韓民國紀事	Kategori:Sydkoreas historia
Category:日本史	Kategori:Japans historia
伯力	Chabarovsk
Category:越南史	Kategori:Vietnams historia
孔子	Konfucius
莎拉伯恩哈特	Sarah Bernhardt
Category:伊拉克史	Kategori:Iraks historia
南加州大学	University of Southern California
Category:數學	Kategori:Matematik
Category:蒙古史	Kategori:Mongoliets historia
Category:人造語言	Kategori:Konstgjorda språk
文藝復興	Renässansen
歐元	Euro
美金	Amerikansk dollar
地中海	Medelhavet
遼	Liaodynastin
杭州市	Hangzhou
基督教	Kristendom
Template:亞洲	Mall:Asien
金朝	Jindynastin (1115–1234)
柏林圍牆	Berlinmuren
稻	Ris
大陸	Världsdelar och kontinenter
京	Huvudstad
Template:門	Mall:Portal
一九四八年	1948
艾爾瑪善鎮	Almazán
黃現璠	Huang Xianfan
一九四五年	1945
一九五八年	1958
日語	Japanska
百科全書	Uppslagsverk
維基大典:卷首	Portal:Huvudsida
一九五九年	1959
Template:正典	Mall:Bra
電晶體	Transistor
棒球	Baseboll
奧林匹克運動會	Olympiska spelen
長江	Yangtze
喜瑪拉雅山	Himalaya
落磯山	Klippiga bergen
韃靼斯坦共和國	Tatarstan
一二六三年	1263
古斯巴達	Sparta
埃斯特雷馬杜拉	Extremadura
安達盧西亞	Andalusien
麥加	Mecka
毛澤東	Mao Zedong
西安市	Xi'an
拉薩市	Lhasa
哲學	Filosofi
Category:速刪候	Kategori:Snabbraderingar
茶	Te
